Wahl;Wahlsprengel;Wahlberechtigte;abgegebene Stimmen;gültige Stimmen;SPÖ;FPÖ;ÖVP;GRÜNE;NEOS;KPÖ;LINZ;VOLT;WANDL;MFG;R
"GR21";"001";652;335;332;65;29;59;83;20;22;21;0;12;20;1
"GR21";"003";595;363;358;83;24;59;109;25;16;19;2;12;8;1
"GR21";"004";642;386;376;73;21;91;102;15;18;25;1;7;23;0
"GR21";"005";578;422;417;58;23;109;116;34;23;31;0;11;11;1
"GR21";"020";629;403;400;100;29;62;125;20;28;12;1;10;13;0
"GR21";"021";534;345;337;74;27;47;84;13;46;19;0;18;8;1
"GR21";"023";636;367;360;103;28;46;77;22;22;28;0;16;18;0
"GR21";"024";650;365;359;91;35;72;71;29;22;16;1;10;11;1
"GR21";"026";644;342;338;71;23;91;76;23;16;18;0;15;5;0
"GR21";"027";578;335;329;57;19;70;79;30;22;23;0;17;11;1
"GR21";"029";732;434;424;124;48;73;87;15;27;24;0;14;12;0
"GR21";"040";718;508;500;126;41;72;114;33;15;68;2;8;21;0
"GR21";"041";700;365;354;122;45;51;60;16;18;18;1;10;13;0
"GR21";"043";733;438;422;124;58;64;97;18;15;28;2;4;12;0
"GR21";"044";692;315;309;126;54;34;43;13;14;13;0;2;10;0
"GR21";"046";682;403;390;133;36;73;72;19;20;12;0;12;12;1
"GR21";"047";614;309;300;109;49;44;45;10;13;9;0;9;12;0
"GR21";"048";734;394;379;172;55;53;41;5;16;7;1;17;11;1
"GR21";"050";696;332;326;106;49;73;38;13;18;8;0;12;9;0
"GR21";"061";752;446;438;109;29;61;114;23;33;38;2;16;13;0
"GR21";"063";643;384;380;89;18;56;114;19;37;23;1;15;8;0
"GR21";"064";634;375;368;65;41;60;105;26;16;29;0;13;11;2
"GR21";"065";638;348;343;89;39;51;84;18;20;10;0;22;9;1
"GR21";"066";694;343;341;67;33;54;96;28;32;10;0;16;5;0
"GR21";"067";655;329;328;75;26;63;89;13;23;17;1;16;5;0
"GR21";"069";697;420;416;75;44;77;104;28;22;28;0;10;27;1
"GR21";"070";690;297;294;75;26;47;69;10;22;18;0;10;17;0
"GR21";"082";567;291;284;66;35;41;69;16;20;14;1;6;13;3
"GR21";"083";670;440;434;72;25;145;99;38;20;20;0;6;9;0
"GR21";"084";657;385;374;91;42;78;89;13;26;13;0;7;15;0
"GR21";"085";760;452;442;110;32;84;113;35;21;28;0;8;10;1
"GR21";"086";663;399;393;77;25;73;115;26;22;31;0;16;8;0
"GR21";"087";736;427;417;78;35;96;102;42;25;26;2;4;7;0
"GR21";"089";683;378;368;119;26;62;87;24;14;18;1;7;10;0
"GR21";"101";537;371;364;54;23;100;103;27;4;30;0;3;20;0
"GR21";"102";622;436;427;83;31;110;103;39;13;27;0;6;15;0
"GR21";"104";549;376;369;60;20;75;127;27;19;24;0;7;7;3
"GR21";"120";461;330;325;45;24;125;57;32;6;21;0;1;10;4
"GR21";"140";656;470;467;53;41;144;129;36;11;27;0;5;21;0
"GR21";"142";655;441;426;137;38;106;78;19;5;7;0;6;28;2
"GR21";"143";745;438;431;117;38;103;101;35;15;9;0;4;9;0
"GR21";"145";613;404;398;212;42;52;33;18;17;11;0;2;11;0
"GR21";"146";648;415;407;211;38;44;56;15;9;10;1;3;19;1
"GR21";"147";719;578;568;114;40;175;131;52;5;27;2;3;19;0
"GR21";"148";661;434;425;144;31;76;81;33;22;11;1;5;19;2
"GR21";"149";671;313;305;130;62;42;27;9;10;10;0;5;10;0
"GR21";"150";557;385;371;139;34;76;63;14;10;13;0;4;18;0
"GR21";"151";566;429;421;102;27;120;103;21;15;14;0;4;13;2
"GR21";"160";665;430;422;154;48;107;57;13;10;17;0;4;12;0
"GR21";"161";643;321;309;99;45;74;47;17;9;3;1;2;12;0
"GR21";"163";571;379;370;160;39;66;49;19;16;2;0;2;16;1
"GR21";"164";859;471;454;189;114;61;26;9;12;12;0;6;24;1
"GR21";"165";673;468;460;141;65;120;74;23;9;11;0;3;14;0
"GR21";"166";711;434;424;184;72;78;47;14;12;6;0;2;8;1
"GR21";"167";648;398;389;159;64;89;27;7;8;12;0;0;20;3
"GR21";"168";639;369;359;152;93;64;14;8;7;4;0;0;17;0
"GR21";"169";712;475;462;169;85;76;68;22;7;7;0;5;21;2
"GR21";"180";683;389;382;129;55;77;59;22;9;13;0;0;18;0
"GR21";"182";716;288;281;145;58;23;16;4;14;4;0;0;16;1
"GR21";"183";650;352;341;151;72;44;36;11;5;2;0;3;17;0
"GR21";"185";719;369;362;167;60;44;32;17;8;9;1;2;22;0
"GR21";"187";662;410;398;146;73;68;52;12;11;7;2;4;23;0
"GR21";"188";784;352;345;173;63;43;16;4;9;6;1;11;19;0
"GR21";"190";688;405;393;150;73;87;31;15;8;3;1;4;21;0
"GR21";"191";724;388;378;169;86;62;15;9;5;3;1;3;25;0
"GR21";"200";576;240;232;99;57;31;13;10;1;4;0;2;15;0
"GR21";"201";573;294;287;137;48;30;17;14;13;9;0;4;14;1
"GR21";"202";615;312;308;149;61;36;21;12;7;4;0;5;12;1
"GR21";"203";675;344;339;148;57;47;38;9;6;4;1;3;25;1
"GR21";"204";690;422;416;218;46;71;24;17;9;5;0;6;20;0
"GR21";"220";540;273;267;123;52;33;26;9;14;2;0;0;8;0
"GR21";"221";595;299;289;110;55;55;26;9;11;4;0;4;15;0
